Rk,Player,SB,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team,Player-additional
853,Ed Sicking,8,1920,1927,23-30,89,294,264,24,57,49,7,1,0,29,8,5,24,15,.216,.284,.250,.534,54,66,,1,5,,,456/H,CINNYGPIT,sickied01
854,Clyde Spearman,8,1935,1941,22-28,155,660,579,98,167,127,23,13,4,74,8,,64,,.288,.364,.394,.758,98,228,,5,12,,,9,CAGNYCPS,spearcl01
855,Jim Starks,8,1927,1941,21-35,120,452,397,73,120,83,21,2,14,74,8,,44,,.302,.375,.471,.846,127,187,,2,9,,,37/894,KCMMRSNBYNDPC,starkji01
856,Birdie Tebbetts,8,1936,1941,23-28,440,1565,1417,149,386,279,76,17,14,191,8,10,125,92,.272,.333,.380,.713,78,538,24,4,18,,14,2H,DET,tebbebi01
857,Ike Thomas,8,1932,1932,,28,108,99,14,27,24,3,0,0,5,8,,6,,.273,.314,.303,.617,94,30,,0,3,,,4/7,AB2,thomaik01
858,Fred Thomas,8,1920,1920,27-27,79,308,262,27,60,50,6,3,1,11,8,5,26,18,.229,.303,.286,.590,57,75,,2,12,,,56/H,PHAWSH,thomafr02
859,Dave Thomas,8,1929,1938,24-33,235,983,876,133,239,170,46,13,10,113,8,,77,,.273,.333,.389,.722,90,341,,2,28,,,37/918,BBBBBSBEGNYCSEN,thomada03
860,Earl Webb,8,1925,1933,27-35,650,2461,2161,326,661,425,155,25,56,333,8,4,260,202,.306,.381,.478,.859,125,1034,,2,37,,15,9H73,BOSCHCCHWDETNYG,webbea01
861,Bill Williams,8,1939,1941,26-28,86,311,279,45,81,67,7,6,1,48,8,,27,,.290,.353,.369,.722,120,103,,,5,,,65/78,KCM,willibi04
862,Ted Williams,8,1939,1941,20-22,436,1944,1582,400,563,324,120,28,91,378,8,9,350,145,.356,.475,.640,1.114,183,1012,33,8,4,,40,*79H/1,BOS,willite01
863,Melzar Williams,8,1937,1938,23-24,40,171,162,23,45,36,4,4,1,25,8,,9,,.278,.316,.370,.686,93,60,,0,0,,,7/2,BBB,willime01
864,Frank Wilson,8,1924,1928,23-27,168,551,488,46,120,96,19,4,1,38,8,5,48,44,.246,.315,.307,.622,72,150,,1,12,,0,7H8/9,BSNCLESLB,wilsofr01
865,Smoky Joe Wood,8,1920,1922,30-32,269,995,836,131,258,170,60,15,13,182,8,2,100,96,.309,.388,.463,.851,118,387,,8,44,,,9H8/71,CLE,woodjo02
866,Bill Akers,7,1929,1932,24-27,174,558,475,64,124,87,17,9,11,69,7,6,63,64,.261,.349,.404,.753,93,192,,1,14,,0,65H/4,BSNDET,akersbi01
867,Paul Arnold,7,1926,1936,22-32,111,459,391,69,99,81,14,4,0,35,7,0,52,1,.253,.342,.309,.652,73,121,,1,15,,,87/9,BRGHILNDNLGNWBNYC,arnolpa01
868,Larry Bettencourt,7,1928,1932,22-26,168,465,395,61,102,69,19,6,8,53,7,4,60,60,.258,.360,.397,.758,96,157,,3,6,,0,H95/72,SLB,bettela01
869,Jimmy Bloodworth,7,1937,1941,19-23,359,1435,1343,143,342,240,67,13,22,184,7,4,72,163,.255,.294,.373,.667,77,501,39,3,17,,5,435H/96,WSH,bloodji01
870,Chet Brewer,7,1925,1941,18-34,168,432,373,39,87,75,8,3,1,27,7,,35,,.233,.302,.279,.581,57,104,,2,22,,,1/3789,KCMNYCPCPSWAP,brewech02
871,Les Burke,7,1923,1926,20-23,194,585,506,73,131,107,17,7,0,47,7,7,46,32,.259,.327,.320,.647,68,162,,5,24,,,4H/56,DET,burkele01
872,Tommy Butts,7,1938,1941,18-21,152,640,572,93,136,110,20,5,1,66,7,,51,,.238,.300,.295,.596,67,169,,0,17,,,*6/549,BCABEGIAB,buttsto01
873,Calvin Chapman,7,1935,1936,24-25,111,295,272,41,72,60,8,3,1,25,7,4,20,24,.265,.317,.327,.645,79,89,3,1,2,,2,H476/958,CIN,chapmca01
874,Mark Christman,7,1938,1939,24-25,180,611,556,62,131,109,14,7,1,64,7,3,47,33,.236,.295,.291,.587,46,162,11,0,8,,3,65H/4,DETSLB,chrisma01
875,Duke Cleveland,7,1938,1941,21-24,62,269,238,55,65,59,4,2,0,28,7,,28,,.273,.350,.307,.656,96,73,,0,3,,,978,CBRJRC,clevedu01
876,Estel Crabtree,7,1929,1941,25-37,326,1148,1047,141,295,225,35,24,11,103,7,14,74,86,.282,.334,.393,.726,99,411,3,8,19,,3,89H7/53,CINSTL,crabtes01
877,Sam Crane,7,1920,1922,25-27,130,406,367,41,83,66,15,2,0,25,7,9,21,24,.226,.281,.278,.559,55,102,,7,11,,,6H5/49,BROCIN,cranesa02
878,Sam Crawford,7,1920,1931,28-39,142,343,314,26,61,55,3,2,1,20,7,,16,,.194,.238,.226,.464,30,71,,2,11,,,1/947835,BBBCAGCTGKCMSLS,crawfsa02
879,Lunie Danage,7,1920,1920,25-25,57,228,210,25,53,46,4,2,1,25,7,,12,,.252,.299,.305,.604,80,64,,2,4,,,45/916,SLG,danaglu01
880,L. Davis,7,1924,1925,,49,183,159,32,51,34,8,6,3,38,7,,15,,.321,.383,.503,.886,140,80,,1,8,,,9/675,ABCCAG,davisl02
881,Herman Dunlap,7,1937,1938,29-30,65,258,234,35,59,45,8,3,3,20,7,,15,,.252,.300,.350,.650,82,82,,1,8,,0,89/7,CAG,dunlahe01
882,Cedric Durst,7,1922,1930,25-33,481,1221,1103,145,269,198,39,17,15,124,7,11,75,100,.244,.294,.351,.645,67,387,,3,38,,1,H7983,BOSNYYSLB,durstce01
883,Frank Ellerbe,7,1920,1924,24-28,392,1515,1348,166,360,281,54,21,4,136,7,13,70,121,.267,.307,.347,.654,68,468,,8,80,,,5H6/49,CLESLBWSH,ellerfr01
884,Harry Else,7,1932,1940,26-34,112,358,325,45,87,72,10,4,1,34,7,,25,,.268,.324,.332,.656,95,108,,2,6,,,2/59,CAGKCMMRM,elseha01
885,Judy Gans,7,1920,1925,33-38,87,300,256,28,52,44,4,4,0,30,7,,31,,.203,.294,.250,.544,58,64,,2,11,,,798/13,CAGNLG,gansju01
886,Ted Gullic,7,1930,1933,23-26,196,669,612,73,151,109,25,8,9,79,7,1,42,81,.247,.296,.358,.654,66,219,,1,14,,0,9H5387,SLB,gullite01
887,Earl Gurley,7,1922,1932,23-33,238,748,656,85,189,131,33,16,9,89,7,,62,,.288,.350,.428,.779,112,281,,1,29,,,71938/4,ABCBBBCAGHBGMGSMRSSLS,gurleea01
888,Charley Hill,7,1920,1924,,69,255,220,33,53,44,6,3,0,22,7,,19,,.241,.316,.295,.611,76,65,,5,11,,,97/81,DSKCM,hillch01
889,Philly Holmes,7,1938,1939,25-26,24,108,96,15,22,17,2,2,1,14,7,,10,,.229,.302,.323,.625,80,31,,0,2,,,6/4,CBRIABJRC,holmeph01
890,Sad Sam Jones,7,1920,1935,27-42,583,1270,1061,136,216,165,41,4,6,94,7,4,111,291,.204,.291,.267,.558,46,283,,20,73,,0,1H/9,BOSCHWNYYSLBWSH,jonessa01
891,Marty Krug,7,1922,1922,33-33,127,524,450,67,124,93,23,4,4,60,7,9,43,43,.276,.343,.371,.714,83,167,,3,28,,,54/6,CHC,krugma01
892,Obie Lackey,7,1929,1938,25-34,156,601,550,64,155,123,25,3,4,75,7,,30,,.282,.319,.360,.679,77,198,,0,21,,,645/7938,BBSHGHILPBGPCPS,lackeob01
893,José Leblanc,7,1920,1921,26-27,81,235,210,25,49,37,10,2,0,26,7,,15,,.233,.297,.300,.597,72,63,,4,6,,,19/3275,CSCSW,leblajo01
894,Bobo Leonard,7,1922,1927,,169,626,545,78,142,108,24,4,6,58,7,,57,,.261,.332,.352,.684,84,192,,1,23,,,879/13,ABCACBBSCAGCBNCELCHTCTSNLG,leonabo01
895,Clarence Lindsay,7,1923,1929,25-31,190,789,679,88,172,131,27,7,7,82,7,,69,,.253,.323,.345,.668,71,234,,1,40,,,65/418,ACBBSNLGWMP,lindscl01
896,Bobby Mattick,7,1938,1941,22-25,200,724,680,54,159,128,30,1,0,64,7,6,33,59,.234,.270,.281,.551,52,191,13,1,9,,6,6/H54,CHCCIN,mattibo01
897,Ed Mayweather,7,1937,1941,27-31,146,562,503,82,138,94,24,13,7,94,7,,50,,.274,.340,.416,.755,117,209,,0,9,,,39,KCMSL3SNS,mayweed01
898,Johnny McCarthy,7,1934,1941,24-31,406,1276,1180,144,321,243,48,9,21,163,7,11,75,93,.272,.318,.381,.700,90,450,23,5,16,,8,3H/9178,BRONYG,mccarjo03
899,Frank McCormick,7,1934,1941,23-30,652,2791,2590,364,803,564,163,17,59,472,7,7,152,77,.310,.352,.454,.806,120,1177,89,14,35,,34,*3H/49,CIN,mccorfr01
900,J.C. McHaskell,7,1927,1929,24-26,215,883,795,81,177,146,21,7,3,70,7,,46,,.223,.268,.278,.546,47,221,,3,39,,,*3/75,MRS,mchasjc01
901,Bill McKechnie,7,1920,1920,33-33,40,140,133,13,29,24,3,1,1,13,7,4,4,7,.218,.241,.278,.519,47,37,,0,3,,,56/4H3,PIT,mckecbi01
902,Elmer Miller,7,1921,1922,30-31,151,614,561,88,146,104,18,13,11,73,7,6,35,38,.260,.308,.398,.706,80,223,,4,14,,,87H/9,BOSNYY,milleel01
903,Eddie Miller,7,1924,1930,23-29,226,692,610,66,135,110,15,10,0,44,7,,54,,.221,.285,.279,.563,50,170,,0,28,,,1635/4978,ABCCAGHG,milleed05
904,Percy Miller,7,1921,1937,24-40,230,505,453,57,110,73,18,9,10,59,7,,32,,.243,.301,.389,.690,84,176,,6,14,,,179/3,CCUCELCHTCOGDTSKCMNEGNWBSLS,millepe01
905,Ed Montague,7,1928,1932,22-26,220,734,615,105,161,134,18,7,2,69,7,12,85,91,.262,.357,.324,.681,74,199,,6,27,,2,65H,CLE,montaed01
906,Joseph Morrissey,7,1932,1936,28-32,254,897,841,61,195,163,31,1,0,45,7,4,36,40,.232,.266,.271,.537,51,228,21,3,17,,2,465/H7,CHWCIN,morrijo05
907,Leo Norris,7,1936,1937,28-29,270,1055,962,109,252,174,51,7,20,112,7,12,60,132,.262,.307,.392,.699,81,377,21,3,30,,4,645H,PHI,norrile01
908,Jim O'Neill,7,1920,1923,27-30,109,356,327,33,94,68,18,7,1,43,7,3,14,33,.287,.321,.394,.715,91,129,,2,11,,,6H4/59,WSH,o'neiji01
909,Sylvester Owens,7,1937,1941,,95,353,335,24,63,53,6,4,0,31,7,,12,,.188,.218,.230,.448,28,77,,1,5,,,87/4329,BBBIABPSSNSTC,owenssy01
910,Babe Phelps,7,1931,1941,23-33,631,2026,1860,218,584,389,132,18,45,304,7,6,140,133,.314,.365,.477,.842,124,887,59,9,16,,43,2H/39,BROCHCWSH,phelpba01
911,Jimmie Reese,7,1930,1932,28-30,232,802,742,123,206,155,39,4,8,70,7,12,48,37,.278,.324,.373,.697,84,277,,3,8,,0,4H/5,NYYSTL,reeseji01
912,Jimmy Ripple,7,1936,1941,26-31,522,1884,1683,233,480,350,89,13,28,236,7,10,149,82,.285,.348,.403,.751,103,679,45,12,40,,7,98H7,BROCINNYG,ripplji01
913,Reb Russell,7,1922,1923,33-34,154,568,511,100,165,97,32,15,21,133,7,3,34,39,.323,.377,.568,.944,142,290,,10,13,,,9H/7,PIT,russere01
914,Anastasio Santaella,7,1935,1936,32-33,74,250,213,26,66,49,15,1,1,30,7,,25,,.310,.385,.404,.789,101,86,,1,11,,,4657/928,NYC,santaan03
915,Wes Schulmerich,7,1931,1934,29-32,429,1586,1442,169,417,297,73,20,27,192,7,20,118,197,.289,.347,.424,.771,109,611,19,10,14,,16,97H/8,BSNCINPHI,schulwe02
916,Raymond Taylor,7,1932,1941,22-31,91,296,273,29,52,43,6,2,1,30,7,0,20,,.190,.246,.238,.484,41,65,,0,3,,,23/789,AB3KCMLVBMRSSL3SNS,taylora01
917,Herb Thomas,7,1924,1927,22-25,74,260,235,27,52,36,11,4,1,15,7,3,15,18,.221,.285,.315,.600,64,74,,6,4,,,84H/697,BSNNYG,thomahe01
918,Tommy Thompson,7,1933,1939,23-29,397,1251,1107,142,294,247,34,4,9,119,7,4,108,63,.266,.335,.328,.663,84,363,28,7,29,,0,9H873,BSNCHWSLB,thompto02
919,Mike Tresh,7,1938,1941,24-27,379,1439,1251,152,331,290,32,8,1,137,7,12,159,101,.265,.350,.305,.655,71,382,33,5,24,,23,2,CHW,treshmi01
920,Bucky Walters,7,1931,1941,22-32,525,1628,1492,173,362,256,75,14,17,177,7,6,88,216,.243,.287,.346,.633,66,516,27,5,43,,1,15H4/7,BOSBSNCINPHI,waltebu01
921,Dib Williams,7,1930,1935,20-25,475,1748,1574,198,421,306,74,12,29,201,7,3,133,140,.267,.327,.385,.712,83,606,,7,31,,5,46H5/37,BOSPHA,willidi01
922,Nip Winters,7,1923,1932,24-33,251,706,636,82,183,115,42,13,13,105,7,2,49,19,.288,.341,.456,.797,108,290,,2,19,,,13/8,BBSHILNLGWAP,winteni01
923,Del Young,7,1937,1940,25-28,309,1028,950,87,213,172,31,7,3,76,7,6,48,115,.224,.264,.281,.545,48,267,21,3,27,,2,64H,PHI,youngde02
924,Bob Barrett,6,1923,1929,24-30,239,706,650,57,169,131,23,5,10,86,6,3,32,61,.260,.296,.357,.653,72,232,,1,22,,1,5H43/7,BOSBROCHC,barrebo01
925,Frank Blattner,6,1921,1921,31-31,66,226,198,17,39,31,6,1,1,15,6,,15,,.197,.264,.253,.516,46,50,,3,10,,,394/7,KCM,blattfr01
926,Ping Bodie,6,1920,1921,32-33,160,620,558,68,154,105,28,14,7,89,6,15,48,38,.276,.333,.414,.747,93,231,,0,14,,,8/H7,NYY,bodiepi01
927,Jack Bolling,6,1939,1939,22-22,69,222,211,27,61,47,11,0,3,13,6,3,11,10,.289,.324,.384,.708,95,81,5,0,0,,0,3H,PHI,bollija01
928,Bill Bradford,6,1938,1941,24-27,65,250,223,22,46,34,8,3,1,19,6,,22,,.206,.280,.283,.563,66,63,,1,4,,,9/74835,AB3CAGMRSSL3,bradfbi02
929,Irvin Brooks,6,1923,1927,32-36,139,573,509,78,158,117,20,5,16,98,6,,53,,.310,.377,.464,.840,126,236,,1,10,,,*89/457,BRG,brookir01
930,Armando Celada,6,1929,1929,28-28,36,128,118,10,24,17,7,0,0,7,6,,8,,.203,.254,.263,.517,35,31,,0,2,,,65/4913,CSW,celadar01
931,Andy Cohen,6,1926,1929,21-24,262,951,886,108,249,189,36,10,14,114,6,12,43,34,.281,.317,.392,.709,81,347,,4,18,,2,4H6/5,NYG,cohenan01
932,Comer Cox,6,1930,1931,25-26,48,212,192,32,57,49,5,2,1,20,6,,16,,.297,.351,.359,.710,95,69,,0,4,,,9/758,CCUNEG,coxco01
933,Rogelio Crespo,6,1926,1927,31-32,96,407,346,49,74,59,8,5,2,36,6,,36,,.214,.311,.283,.595,59,98,,13,12,,,45/67,CSE,crespro01
934,Porter Dallas,6,1929,1932,25-28,89,344,320,30,92,77,12,1,2,32,6,,18,,.288,.325,.350,.675,93,112,,0,6,,,5/36,BBBMRM,dallapo01
935,Virgil Davis,6,1928,1941,23-36,1381,4579,4129,380,1276,944,235,22,75,627,6,13,374,316,.309,.369,.431,.800,110,1780,96,21,50,,64,2H/35,CINPHIPITSTL,davissp01
936,Al DeVormer,6,1921,1927,29-35,188,499,458,48,118,93,18,5,2,57,6,0,20,42,.258,.293,.332,.625,64,152,,3,16,,,2H/3,BOSNYGNYY,devoral01
937,Samuel Dewitt,6,1920,1926,26-32,90,338,281,30,45,34,8,3,0,22,6,,32,,.160,.253,.210,.463,31,59,,3,22,,,54/6,ABCCOBDMTT,dewitsa01
938,Bill Drake,6,1920,1930,25-35,198,544,483,48,93,72,12,3,6,49,6,,31,,.193,.250,.267,.517,42,129,,6,24,,,1/79,ABCDSKCMNEGSLGSLS,drakebi01
939,George Fiall,6,1924,1929,24-29,124,456,393,37,76,69,5,2,0,19,6,,41,,.193,.278,.216,.494,36,85,,5,17,,,65/49,BBBBBSHBGNLG,fiallge01
940,George Fisher,6,1923,1932,24-33,138,384,340,62,114,79,21,6,8,71,6,5,37,35,.335,.402,.503,.905,118,171,,1,6,,2,9H7,SLBSTLWSH,fishesh01
941,Jimmy Ford,6,1937,1941,24-28,68,270,255,39,75,64,5,6,0,32,6,,13,,.294,.328,.361,.689,102,92,,0,2,,,45/6978,BBBBEGMRSSENSL3SNS,fordji01
942,Lee Gamble,6,1935,1940,25-30,165,365,342,51,91,76,12,3,0,21,6,1,10,21,.266,.287,.319,.606,63,109,3,0,13,,2,H7/98,CIN,gamblle01
943,Rich Gee,6,1923,1929,28-34,122,419,372,48,107,77,21,4,5,60,6,,37,,.288,.352,.406,.758,106,151,,0,10,,,2/9467,BRGNLG,geeri01
944,Joe Glenn,6,1932,1940,23-31,248,808,718,77,181,137,34,5,5,89,6,5,81,91,.252,.330,.334,.664,69,240,10,2,7,,3,2H,BOSNYYSLB,glennjo02
945,Joe Grace,6,1938,1941,24-27,281,961,845,140,250,185,43,8,14,111,6,8,104,81,.296,.377,.415,.792,104,351,11,6,6,,12,9H827,SLB,gracejo01
946,Bert Griffith,6,1922,1924,26-28,191,621,581,69,174,128,30,12,4,72,6,9,18,28,.299,.324,.413,.737,91,240,,3,19,,,9H7/83,BROWSH,griffbe01
947,Paul Hardy,6,1932,1941,21-30,143,464,418,56,92,78,8,6,0,44,6,,31,,.220,.279,.268,.547,57,112,,3,12,,0,2/3897,BBBCAGCEGIDKCMMGSNEG,hardypa01
948,Charlie Hargreaves,6,1923,1930,26-33,423,1299,1188,96,321,262,44,11,4,139,6,3,77,49,.270,.318,.336,.654,69,399,,6,27,,6,2H/3,BROPIT,hargrch01
949,Otis Henry,6,1932,1937,29-34,50,199,186,26,45,33,7,4,1,21,6,,7,,.242,.273,.339,.612,86,63,,1,5,,,57/4,IAMRS,henryot01
950,Johnson Hill,6,1921,1927,30-36,197,798,728,92,185,126,30,10,19,104,6,,36,,.254,.289,.401,.690,89,292,,0,34,,,*5/849,BRGDS,hilljo01
951,Clarence Hoffman,6,1929,1929,25-25,107,369,337,27,87,63,16,5,3,37,6,3,24,28,.258,.307,.362,.669,73,122,,0,7,,0,8H79,CHW,hoffmdu01
952,Fred Hofmann,6,1920,1928,26-34,377,1116,999,98,247,180,49,11,7,96,6,3,77,120,.247,.308,.339,.648,69,339,,11,20,,0,2H/3,BOSNYY,hofmafr01
953,Shanty Hogan,6,1925,1937,19-31,989,3475,3180,288,939,720,146,12,61,474,6,10,220,188,.295,.348,.406,.754,100,1292,35,38,36,,45,2H/97,BSNNYGWSH,hogansh01
954,Jim Jeffries,6,1920,1928,27-35,208,585,506,48,105,94,9,2,0,35,6,,50,,.208,.283,.233,.516,47,118,,3,26,,,1978/5,ABCBBBBBSHBG,jeffrji01
955,Irv Jeffries,6,1930,1934,24-28,175,544,495,71,116,89,19,0,8,46,6,3,32,21,.234,.284,.321,.605,58,159,6,2,15,,1,54H6/8,CHWPHI,jeffrir01
956,Thurman Jennings,6,1920,1921,29-30,60,258,235,33,62,51,9,2,0,22,6,,13,,.264,.305,.319,.624,78,75,,1,9,,,74/6893,COG,jennith01
957,Larnie Jordan,6,1940,1941,26-27,71,275,262,48,78,57,13,6,2,45,6,,11,,.298,.326,.416,.742,103,109,,,2,,,64/5,PS,jordala01
958,Lynn King,6,1935,1939,27-31,175,240,207,28,43,38,4,1,0,21,6,6,28,18,.208,.302,.237,.539,45,49,6,0,5,,0,H879,STL,kingly01
959,Ray Knode,6,1923,1926,22-25,109,232,207,32,55,45,7,1,2,21,6,4,17,11,.266,.321,.338,.660,69,70,,0,8,,,3H,CLE,knodera01
960,Ernie Lombardi,6,1931,1941,23-33,1276,4484,4162,440,1292,916,227,25,124,705,6,5,276,170,.310,.358,.466,.824,126,1941,179,33,11,,112,2H,BROCIN,lombaer01
961,Johnny Lucadello,6,1938,1941,19-22,140,524,464,74,128,89,29,6,4,45,6,2,56,31,.276,.356,.390,.746,94,181,4,2,2,,4,4H56/7,SLB,lucadjo01
962,Leroy Matlock,6,1929,1938,22-31,160,432,373,58,83,67,11,2,3,39,6,,34,,.223,.289,.287,.576,55,107,,1,24,,,1738/9,HGPCSLSWAP,matlole01
963,Willie Miles,6,1924,1927,,62,268,237,32,60,48,9,2,1,18,6,,22,,.253,.319,.321,.640,71,76,,1,8,,,8579/46,CBNCELCHT,mileswi01
964,Flash Miller,6,1934,1940,24-30,90,340,296,39,70,54,9,5,2,30,6,,37,,.236,.325,.321,.646,70,95,,2,5,,,46,NBYND,millefl01
965,Ralph Miller,6,1920,1924,24-28,163,586,557,48,138,110,24,1,3,54,6,9,18,43,.248,.274,.311,.584,59,173,,2,9,,,56/H347,PHIWSH,millera03
966,Red Nonnenkamp,6,1933,1940,21-28,155,301,263,49,69,61,6,2,0,24,6,2,33,24,.262,.347,.300,.647,62,79,2,1,3,,0,H97/83,BOSPIT,nonnere01
967,Don Padgett,6,1937,1941,25-29,525,1756,1631,222,476,331,96,15,34,277,6,6,113,112,.292,.339,.432,.771,107,704,42,3,8,,16,92H738,STL,padgedo01
968,Satchel Paige,6,1927,1941,20-34,159,403,377,39,86,76,2,7,1,28,6,,9,,.228,.246,.279,.525,42,105,,0,17,,,1/397,BBBCCUKCMNBYPC,paigesa01
969,Rusty Peters,6,1936,1941,21-26,222,661,599,62,144,103,25,10,6,68,6,6,56,112,.240,.305,.346,.651,66,207,3,0,5,,3,465H/73,CLEPHA,peterru02
970,Urbane Pickering,6,1931,1932,32-33,235,880,798,95,205,144,41,9,11,92,6,8,72,124,.257,.319,.372,.691,84,297,,1,9,,3,5H4/2,BOS,pickeur01
971,Bill Pierce,6,1923,1924,33-34,90,363,325,59,107,71,15,12,9,65,6,,30,,.329,.393,.532,.925,153,173,,4,4,,,32/958,DSNLG,piercbi03
972,Pete Reiser,6,1940,1941,21-22,195,843,761,151,250,162,50,21,17,96,6,11,61,104,.329,.387,.516,.903,145,393,10,11,9,,4,859H/6,BRO,reisepe01
973,Goody Rosen,6,1937,1939,24-26,214,832,733,107,203,154,28,16,5,69,6,7,94,70,.277,.359,.379,.738,99,278,6,0,5,,7,89H7,BRO,rosengo01
974,Blondy Ryan,6,1930,1938,24-32,386,1412,1330,127,318,261,36,13,8,133,6,3,57,184,.239,.271,.304,.575,57,404,41,2,20,,0,654H,CHWNYGNYYPHI,ryanbl01
975,Wyman Smith,6,1923,1924,24-25,32,119,109,18,36,20,13,1,2,22,6,,7,,.330,.371,.523,.894,150,57,,0,3,,,7/9,BBS,smithwy01
976,Herb Souell,6,1940,1940,27-27,28,107,97,15,33,28,5,0,0,13,6,,10,,.340,.402,.392,.794,142,38,,,0,,,5/7,KCM,souelhe01
977,Charlie Spearman,6,1923,1929,31-37,162,558,495,77,147,103,27,4,13,87,6,,41,,.297,.358,.446,.804,111,221,,6,16,,,2/396,BRGNLG,spearch01
978,Alan Strange,6,1934,1941,27-34,295,1041,910,90,201,156,37,7,1,84,6,2,106,53,.221,.303,.280,.583,49,255,11,1,24,,5,6H/435,SLBWSH,stranal01
979,John Sullivan,6,1920,1921,30-31,162,566,495,64,153,112,28,8,5,69,6,7,48,55,.309,.374,.428,.802,123,212,,3,18,,,79H/38,BSNCHC,sullijo04
980,Frenchy Uhalt,6,1934,1934,24-24,57,199,165,28,40,34,5,1,0,16,6,5,29,12,.242,.359,.285,.644,66,47,,1,4,,1,9H8/7,CHW,uhaltfr01
981,George Uhle,6,1920,1936,21-37,696,1468,1317,165,380,293,58,20,9,184,6,8,97,107,.289,.339,.383,.723,86,505,0,4,35,,1,1H,CLEDETNYGNYY,uhlege01
982,Ossie Vitt,6,1920,1921,30-31,165,660,528,79,109,82,21,5,1,41,6,6,88,23,.206,.321,.271,.592,58,143,,1,39,,,54/H73,BOS,vittos01
983,Otto Vogel,6,1923,1924,23-24,111,284,253,38,63,47,11,3,2,30,6,7,17,37,.249,.312,.340,.652,73,86,,6,8,,,9H7/58,CHC,vogelot01
984,Hoss Walker,6,1929,1941,24-36,304,1130,997,152,234,176,40,11,7,122,6,0,82,,.235,.297,.318,.615,65,317,,6,45,,,65/314,ACBBBBEGCCUCEGMRSNBYNDNEGWEG,walkeho01
985,Charlie Watts,6,1924,1927,,163,509,449,50,103,73,21,6,3,49,6,,33,,.229,.288,.323,.611,64,145,,4,23,,,4365,CELCHTSLS,wattsch01
986,Skeeter Webb,6,1932,1941,22-31,215,818,745,79,182,147,29,3,3,63,6,7,56,73,.244,.299,.303,.602,56,226,11,2,12,,0,64H/5,CHWCLESTL,webbsk01
987,Butch Weis,6,1922,1925,21-24,128,392,341,39,92,72,14,4,2,50,6,10,43,44,.270,.353,.352,.705,83,120,,1,7,,,7H9,CHC,weisbu01
988,Spencer Adams,5,1923,1927,25-29,180,451,395,61,101,80,16,5,0,38,5,10,38,50,.256,.324,.322,.646,67,127,,2,12,,,4H56,NYYPITSLBWSH,adamssp02
989,Jimmy Austin,5,1920,1929,40-49,129,443,381,53,104,81,17,5,1,36,5,5,38,25,.273,.347,.352,.698,82,134,,5,19,,0,5H6/4,SLB,austiji01
990,Ollie Bejma,5,1934,1939,26-31,316,1066,906,128,222,162,35,11,14,117,5,5,130,105,.245,.343,.354,.697,76,321,5,5,23,,2,4H65/9,CHWSLB,bejmaol01
991,Sam Bennett,5,1920,1925,36-41,131,364,324,48,106,83,12,4,7,72,5,,24,,.327,.386,.454,.840,131,147,,7,9,,,279,DMSLGSLS,bennesa01
992,Al Brancato,5,1939,1941,20-22,272,1003,896,114,195,144,36,11,4,80,5,6,95,89,.218,.295,.296,.591,57,265,24,3,9,,1,65H,PHA,brancal01
993,Ameal Brooks,5,1929,1941,22-34,117,419,372,63,104,72,14,8,10,60,5,,35,,.280,.348,.441,.789,116,164,,4,8,,,279/58,CAGCBBCRSHGNBYNYCPS,brookam01
994,Clemente Carreras,5,1940,1941,26-27,59,255,222,32,62,47,9,1,5,33,5,,26,,.279,.355,.396,.751,112,88,,,7,,,54/769,NYC,carrecl01
995,Gilly Campbell,5,1933,1938,25-30,295,831,708,78,186,149,30,2,5,93,5,5,116,35,.263,.371,.332,.703,95,235,18,6,1,,3,2H/37,BROCHCCIN,campbgi01
996,David Campbell,5,1938,1941,,129,513,462,63,121,97,16,6,2,39,5,,42,,.262,.323,.335,.659,80,155,,0,9,,,45/9,NBYPS,campbda03
997,John Cason,5,1923,1928,28-33,156,604,534,45,134,110,16,5,3,54,5,,46,,.251,.316,.316,.633,70,169,,5,19,,,234/59,ACBRGNLG,casonjo01
998,Thad Christopher,5,1936,1941,23-28,84,330,291,45,72,51,14,1,6,36,5,,36,,.247,.330,.364,.695,88,106,,0,3,,,97/82,NBYNEWEG,christh01
999,Lloyd Christenbury,5,1920,1922,26-28,198,454,383,73,104,81,13,6,4,43,5,9,52,30,.272,.364,.368,.733,101,141,,4,14,,,H47/6958,BSN,chrisll01
1000,Danny Clark,5,1922,1927,28-33,245,682,582,75,161,112,36,8,5,93,5,7,74,37,.277,.360,.392,.752,96,228,,2,19,,,H549/7,BOSDETSTL,clarkda04
1001,Flea Clifton,5,1934,1937,25-28,87,219,195,27,39,32,7,0,0,13,5,2,17,28,.200,.268,.236,.504,30,46,,1,6,,0,H564,DET,cliftfl01
1002,Jocko Conlan,5,1934,1935,34-35,128,417,365,55,96,74,18,4,0,31,5,5,33,13,.263,.328,.334,.662,70,122,,2,17,,0,8H9,CHW,conlajo01
1003,Wilbur Cooper,5,1920,1926,28-34,248,703,658,74,173,135,21,11,6,64,5,9,27,52,.263,.295,.356,.651,71,234,,3,15,,,1,CHCDETPIT,coopewi01
