Rk,Player,SB,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team,Player-additional
256,George Cutshaw,44,1920,1923,33-36,406,1652,1480,174,407,334,49,22,2,174,44,25,63,39,.275,.308,.342,.650,75,506,,8,100,,,4H/5,DETPIT,cutshge01
257,Topper Rigney,44,1922,1927,25-30,694,2843,2326,325,669,504,113,39,13,312,44,36,377,176,.288,.388,.387,.775,104,899,,5,133,,,*6H5,BOSDETWSH,rigneto01
258,Homer Summa,44,1920,1930,21-31,840,3319,3001,413,905,687,166,34,18,363,44,35,166,88,.302,.346,.398,.743,92,1193,,36,115,,0,9H78/5,CLEPHAPIT,summaho01
259,Doc Cramer,43,1929,1941,23-35,1519,6970,6420,1028,1937,1532,300,80,25,599,43,48,387,259,.302,.344,.385,.730,86,2472,45,32,130,,13,*89H7/16,BOSPHAWSH,cramedo01
260,Jesse Hill,43,1935,1937,28-30,295,1092,959,175,277,206,53,12,6,108,43,8,115,91,.289,.366,.388,.753,95,372,,1,16,,1,78H/9,NYYPHAWSH,hillje01
261,Geechie Meredith,43,1924,1930,24-30,390,1589,1430,210,369,287,45,23,14,156,43,,99,,.258,.311,.351,.662,78,502,,10,50,,,469/72583,BBBMRSNEG,meredge01
262,Red Rolfe,43,1931,1941,22-32,1106,5116,4562,900,1336,961,249,65,61,472,43,19,503,317,.293,.364,.416,.780,100,1898,13,10,39,,0,*56H,NYY,rolfere01
263,Zack Wheat,43,1920,1927,32-39,1036,4321,3940,654,1337,966,225,65,81,608,43,35,293,133,.339,.389,.491,.880,132,1935,,28,59,,,*7H/98,BROPHA,wheatza01
264,Charley Williams,43,1921,1931,24-34,493,1961,1769,184,457,364,63,22,8,225,43,,119,,.258,.307,.332,.639,71,588,,5,68,,,465/27,ABCCAGMRS,willich02
265,Jimmie Crutchfield,42,1930,1941,20-31,425,1772,1598,240,426,352,41,28,5,161,42,,134,,.267,.324,.337,.661,79,538,,3,37,,,897/56124,AB2BBBCAGHGNEPCTCTC2,crutcji01
266,Steel Arm Davis,42,1920,1935,24-39,442,1727,1550,254,500,348,88,38,26,290,42,,124,,.323,.378,.479,.856,131,742,,13,40,,,3791/845,CAGCOGDMDSNEG,davisst04
267,Doc Dudley,42,1920,1923,26-29,216,928,808,153,243,169,41,20,13,118,42,,73,,.301,.370,.449,.819,126,363,,16,31,,,*789,SLGSLS,dudledo01
268,Bob Fothergill,42,1922,1933,24-35,1106,3583,3269,452,1064,751,225,52,36,582,42,52,202,177,.325,.368,.459,.828,115,1501,,20,88,,7,7H98,BOSCHWDET,fothebo01
269,Skeeter Newsome,42,1935,1941,24-30,517,1744,1577,169,366,294,63,5,4,127,42,22,109,85,.232,.283,.286,.569,45,451,13,2,56,,2,6H4/579,BOSPHA,newsosk01
270,Moose Solters,42,1934,1941,28-35,896,3572,3324,497,975,638,213,42,82,591,42,22,214,372,.293,.338,.457,.794,100,1518,21,9,23,,14,7H89,BOSCHWCLESLB,soltemo01
271,Rabbit Warstler,42,1930,1940,26-36,1205,4616,4088,431,935,755,133,36,11,332,42,34,405,414,.229,.300,.287,.587,59,1173,47,11,107,,9,64H5,BOSBSNCHCPHA,warstra01
272,Jim Williams,42,1931,1941,25-35,327,1340,1225,189,387,281,84,14,8,231,42,,80,,.316,.359,.427,.786,114,523,,3,32,,0,978/435,AB2BECBRHGIDNBYNDTCTC2,williji06
273,Sammy Hale,41,1920,1930,23-33,883,3200,2915,422,880,639,157,54,30,393,41,20,130,218,.302,.336,.424,.760,93,1235,,22,118,,2,5H/87496,DETPHASLB,halesa01
274,Don Hurst,41,1928,1934,22-28,905,3762,3275,510,976,643,190,28,115,610,41,31,391,210,.298,.375,.478,.854,116,1567,16,15,81,,25,*3H/8,CHCPHI,hurstdo01
275,Barney McCosky,41,1939,1941,22-24,417,1917,1694,323,550,401,97,41,11,170,41,16,198,119,.325,.397,.450,.847,112,762,20,6,19,,3,*87/H,DET,mccosba01
276,Johnny Neun,41,1925,1931,24-30,432,1086,945,171,273,212,42,17,2,85,41,29,110,93,.289,.366,.376,.742,91,355,,5,23,,2,3H,BSNDET,neunjo01
277,Anderson Pryor,41,1923,1933,22-32,295,1228,1056,172,283,217,42,12,12,128,41,,127,,.268,.349,.365,.714,91,385,,5,40,,,465/289,DSIDMB,pryoran01
278,John Beckwith,40,1920,1935,20-35,491,2026,1824,373,636,391,138,31,76,461,40,,159,,.349,.403,.583,.986,161,1064,,6,37,,,5632/9714,BBSCAGCOGHBGHGNDNLGNWB,beckwjo02
279,Max Bishop,40,1924,1935,24-35,1338,5793,4494,966,1216,904,236,35,41,379,40,51,1156,452,.271,.423,.366,.789,103,1645,,31,98,,3,*4H3/6,BOSPHA,bishoma01
280,Vince DiMaggio,40,1937,1941,24-28,553,2176,1935,262,495,316,100,12,67,286,40,21,212,438,.256,.333,.424,.756,113,820,30,11,18,,20,*8H/974,BSNCINPIT,dimagvi01
281,Doc Gautreau,40,1925,1928,23-26,261,935,806,122,207,163,34,10,0,52,40,7,99,63,.257,.341,.324,.665,83,261,,4,26,,0,4H/6,BSNPHA,gautrdo01
282,Ernie Koy,40,1938,1941,28-31,464,1742,1586,217,452,295,99,26,32,234,40,24,123,232,.285,.340,.441,.781,110,699,29,9,22,,7,*78H9/5,BROCINSTL,koyer01
283,Bobby Robinson,40,1925,1940,21-36,510,2061,1826,272,449,365,54,21,9,181,40,,169,,.246,.313,.313,.626,70,572,,9,57,,,56/4,AB3ABCBBBCLSCRSDSMRSNEGSL3SNS,robinbo01
284,Billy Zitzmann,40,1925,1929,29-33,393,1114,977,192,263,212,37,11,3,87,40,14,83,79,.269,.336,.339,.675,78,331,,16,38,,1,7H89/635,CIN,zitzmbi01
