Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
111,Ken Williams*,39,BOS,74,161,139,21,48,14,2,3,21,1,5,15,7,.345,.409,.540,.949,145,75,,0,7,,1,H87/39,willike01
112,Yats Wuestling,25,DET,54,167,150,13,30,4,1,0,16,1,3,9,24,.200,.250,.240,.490,27,36,,1,7,,0,6/H45,wuestya01
113,Nick Altrock#,52,WSH,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,414,1,,0,0,,0,/H9,altroni01
114,Casper Asbjornson,20,BOS,17,30,29,1,3,0,0,0,0,0,0,1,6,.103,.133,.103,.237,-37,3,,0,0,,0,2/H,asbjoca01
115,Jimmy Austin#,49,SLB,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/5,austiji01
116,Martin Autry,26,CHW,43,100,96,7,20,6,0,1,12,0,0,1,8,.208,.224,.302,.527,35,29,,1,2,,1,2H,autrych02
117,Frank Barnes*,29,DET,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,barnefr01
118,Bill Bayne*,30,BOS,27,27,25,2,8,1,1,0,1,0,0,1,3,.320,.346,.440,.786,103,11,,0,1,,0,1,baynebi01
119,Walter Beall,29,WSH,3,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,,0,0,,0,/1,beallwa01
120,Benny Bengough,30,NYY,23,62,62,5,12,2,1,0,7,0,0,0,2,.194,.194,.258,.452,18,16,,0,0,,0,2,bengobe01
121,Josh Billings,21,DET,8,7,6,0,0,0,0,0,0,0,0,1,1,.000,.143,.000,.143,-60,0,,0,0,,0,/1,billijo02
122,Lena Blackburne,42,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,blackle01
123,George Blaeholder,25,SLB,42,83,74,6,9,1,0,1,6,0,0,6,14,.122,.188,.176,.363,-7,13,,0,2,,0,1,blaehge01
124,Ted Blankenship,28,CHW,8,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,30,1,,0,0,,0,/1,blankte01
125,Harley Boss*,20,WSH,28,68,66,9,18,2,1,0,6,0,0,2,6,.273,.294,.333,.627,60,22,,0,0,,0,3H,bossha01
126,Herb Bradley,26,BOS,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,bradlhe01
127,Otis Brannan*,30,SLB,23,58,51,4,15,1,0,1,8,0,0,4,4,.294,.345,.373,.718,83,19,,0,3,,0,4/H,brannot01
128,Garland Braxton#,29,WSH,37,66,54,5,8,4,0,0,4,0,0,6,13,.148,.246,.222,.468,21,12,,1,5,,0,1,braxtga01
129,Bill Breckinridge,21,PHA,3,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/1,breckbi01
130,Clint Brown*,25,CLE,3,7,7,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,browncl01
131,Bobby Burke*,22,WSH,37,51,43,2,6,1,0,0,4,0,0,1,10,.140,.159,.163,.322,-17,7,,0,7,,0,1,burkebo01
132,Johnny Burnett*,24,CLE,19,35,33,2,5,1,0,0,2,0,0,1,2,.152,.200,.182,.382,-2,6,,1,0,,0,6/4H,burnejo01
133,Jerry Byrne,22,CHW,3,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,byrneje01
134,Archie Campbell,25,WSH,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,campbar01
135,Ed Carroll,21,BOS,24,20,16,2,1,0,0,0,2,0,0,0,3,.063,.063,.063,.125,-67,1,,0,3,,0,1/H,carroed01
136,Ownie Carroll,26,DET,37,81,74,9,17,2,2,0,11,0,0,4,4,.230,.278,.311,.589,51,23,,1,2,,0,1/H,carroow01
137,Joe Cicero,18,BOS,10,32,32,6,10,2,2,0,4,0,0,0,2,.313,.313,.500,.813,108,16,,0,0,,0,/8H7,cicerjo01
138,Herb Cobb,24,SLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,cobbhe01
139,Dick Coffman,22,SLB,27,8,7,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,1,coffmdi01
140,Eddie Collins*,42,PHA,9,9,7,0,0,0,0,0,0,0,0,2,0,.000,.222,.000,.222,-39,0,,0,0,,1,/H,collied01
141,Rip Collins,33,SLB,26,66,62,9,17,6,0,1,5,0,0,3,17,.274,.308,.419,.727,83,26,,0,1,,0,1,colliri01
142,Sarge Connally,30,CHW,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,1,connasa01
143,Ed Connolly,20,BOS,5,8,8,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,/2,connoed01
144,Doc Cramer*,23,PHA,2,6,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,/7H,cramedo01
145,Jim Cronin#,23,PHA,25,63,56,7,13,2,1,0,4,0,0,5,7,.232,.295,.304,.599,52,17,,0,2,,0,4/65H,croniji01
146,General Crowder*,30,SLB,40,99,96,6,18,4,0,0,5,0,0,2,11,.188,.204,.229,.433,10,22,,0,1,,0,1,crowdal01
147,Ray Dobens*,22,BOS,11,9,8,0,3,0,0,0,1,0,0,0,0,.375,.375,.375,.750,96,3,,0,1,,0,1,dobenra01
148,Len Dondero,25,SLB,19,36,31,2,6,0,0,1,8,0,0,0,4,.194,.194,.290,.484,21,9,,0,4,,0,5/H4,dondele01
149,Dan Dugan*,22,CHW,19,21,20,1,3,1,0,0,3,0,0,0,7,.150,.150,.200,.350,-10,4,,0,1,,0,1,duganda01
150,Ed Durham*,21,BOS,14,5,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-44,0,,0,0,,0,1,durhaed01
151,George Earnshaw,29,PHA,44,100,87,6,15,2,0,1,10,0,0,2,21,.172,.200,.230,.430,9,20,,1,10,,0,1,earnsge01
152,Howard Ehmke,35,PHA,11,19,19,0,2,1,0,0,0,0,0,0,2,.105,.105,.158,.263,-34,3,,0,0,,0,1,ehmkeho01
153,Oscar Estrada*,27,SLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,estraos01
154,Red Faber#,40,CHW,31,90,78,8,10,2,0,1,5,0,0,8,24,.128,.209,.192,.402,5,15,,0,4,,0,1,faberre01
155,Walt French*,29,PHA,45,51,45,7,12,1,0,1,9,0,0,2,3,.267,.298,.356,.653,65,16,,0,2,,0,H/798,frencwa01
156,Liz Funk*,24,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/H,funkli01
157,Milt Gaston,33,BOS,39,89,78,3,15,3,0,1,5,0,0,6,19,.192,.259,.269,.528,38,21,,1,4,,0,1,gastomi01
158,Patsy Gharrity,37,WSH,3,3,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,-7,0,,0,0,,0,/H,gharrpa01
159,Grant Gillis,28,BOS,28,83,73,5,18,4,0,0,11,0,1,6,8,.247,.304,.301,.605,58,22,,0,4,,0,4/H,gilligr01
160,Charlie Gooch,27,WSH,39,64,57,6,16,2,1,0,5,0,1,7,8,.281,.359,.351,.710,83,20,,0,0,,0,H/356,goochch01
161,Kyle Graham,29,DET,13,19,19,1,2,0,0,1,1,0,0,0,6,.105,.105,.263,.368,-8,5,,0,0,,0,1,grahask01
162,George Grant,26,CLE,12,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,1,grantge02
163,Sam Gray,31,SLB,43,118,103,8,19,4,1,0,13,0,0,6,18,.184,.229,.243,.472,20,25,,0,9,,0,1,graysa01
164,Lefty Grove*,29,PHA,42,116,102,13,22,3,0,1,15,0,0,6,33,.216,.259,.275,.534,35,28,,0,8,,0,1,grovele01
165,Mule Haas*,25,PHA,139,656,578,115,181,41,9,16,82,0,4,34,38,.313,.356,.498,.854,114,288,,4,40,,0,*8/7,haasmu01
166,Bump Hadley,24,WSH,37,74,62,6,6,0,0,0,2,0,0,7,15,.097,.188,.097,.285,-25,6,,0,4,,0,1,hadlebu01
167,Mel Harder,19,CLE,11,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,1,hardeme01
168,Grover Hartley,40,CLE,24,35,33,2,9,0,1,0,8,0,0,2,1,.273,.314,.333,.648,65,11,,0,0,,0,2H,hartlgr01
169,Joe Hassler,24,PHA,4,4,4,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,/H6,hassljo01
170,Joe Hauser*,30,CLE,37,56,48,8,12,1,1,3,9,0,0,4,8,.250,.321,.500,.821,106,24,,1,0,,0,H/3,hausejo01
171,Ray Hayworth,25,DET,14,47,43,5,11,0,0,0,4,0,0,3,8,.256,.304,.256,.560,46,11,,0,1,,0,2,haywora01
172,Fred Heimach*,28,NYY,36,53,49,5,9,2,0,1,2,0,0,3,12,.184,.231,.286,.516,36,14,,0,0,,0,1/H,heimafr01
173,Art Herring,23,DET,4,14,14,2,3,2,1,0,3,0,0,0,1,.214,.214,.500,.714,78,7,,0,0,,0,/1,herriar01
174,Elon Hogsett*,25,DET,4,10,10,0,2,0,0,0,0,0,0,0,2,.200,.200,.200,.400,3,2,,0,0,,0,/1,hogsech01
175,Ken Holloway,31,CLE,25,42,41,1,7,2,0,0,1,0,0,1,3,.171,.190,.220,.410,4,9,,0,0,,0,1,holloke01
176,Paul Hopkins,24,TOT,9,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,,0,0,,0,/1,hopkipa01
177,Waite Hoyt,29,NYY,30,85,76,9,17,4,1,0,6,0,0,1,11,.224,.234,.303,.536,41,23,,0,8,,0,1,hoytwa01
178,Tom Jenkins*,31,SLB,21,26,22,1,4,0,1,0,0,0,0,4,8,.182,.308,.273,.580,49,6,,0,0,,0,H/9,jenkito01
179,Dan Jessee*,28,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/H,jesseda01
180,Hank Johnson,23,NYY,13,16,14,2,1,1,0,0,3,0,0,0,4,.071,.071,.143,.214,-45,2,,0,2,,0,1/H,johnsha01
181,Arndt Jorgens,24,NYY,18,41,34,6,11,3,0,0,4,0,0,6,7,.324,.425,.412,.837,122,14,,0,1,,0,2/H,jorgear01
182,Chad Kimsey*,22,SLB,29,32,30,6,8,2,0,2,4,0,0,1,8,.267,.290,.533,.824,105,16,,0,1,,0,1/H,kimsech01
183,Doc Land*,26,WSH,1,4,3,0,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,-31,0,,0,0,,0,/8,landdo01
184,Bevo LeBourveau*,32,PHA,12,22,16,1,5,0,1,0,2,0,1,5,1,.313,.476,.438,.914,133,7,,0,1,,0,H/89,leboube01
185,Carl Lind,25,CLE,66,249,225,19,54,8,1,0,13,0,2,13,17,.240,.282,.284,.566,44,64,,0,11,,1,4/5H,lindca01
186,Horace Lisenbee,30,BOS,5,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,lisenho01
187,Ad Liska,22,WSH,24,32,29,1,5,0,0,0,0,0,0,2,8,.172,.250,.172,.422,10,5,,1,0,,0,1,liskaad01
188,Ted Lyons#,28,CHW,40,104,91,7,20,4,0,0,11,0,0,9,13,.220,.290,.264,.554,45,24,,0,4,,0,1/H9,lyonste01
189,Danny MacFayden,24,BOS,32,80,74,6,13,2,0,0,2,0,0,2,21,.176,.197,.203,.400,4,15,,0,4,,0,1,macfada01
