Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
167,Marv Gudat*,25,CIN,9,10,10,0,2,0,0,0,0,0,0,0,0,.200,.200,.200,.400,2,2,,0,0,,0,/1H,gudatma01
168,Hal Haid,31,STL,38,56,49,4,4,1,0,0,3,0,0,3,15,.082,.151,.102,.253,-37,5,,1,3,,0,1,haidha01
169,Bill Hallahan,26,STL,20,30,26,2,4,0,0,0,3,0,0,2,13,.154,.214,.154,.368,-8,4,,0,2,,0,1,hallabi01
170,Fred Haney,33,STL,10,28,26,4,3,1,1,0,2,0,0,1,2,.115,.179,.231,.409,-1,6,,1,0,,0,/5H,haneyfr01
171,Bunny Hearn*,25,BSN,10,4,2,1,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,-8,0,,0,1,,0,1,hearnbu02
172,Butch Henline,34,BRO,27,73,62,5,15,2,0,1,7,0,0,9,9,.242,.338,.323,.661,66,20,,0,2,,0,2/H,henlibu01
173,Dutch Henry*,27,NYG,27,34,28,1,7,0,0,0,2,0,0,5,5,.250,.364,.250,.614,55,7,,0,1,,0,1,henrydu01
174,Carmen Hill,33,TOT,30,33,31,1,1,0,0,0,0,0,0,1,7,.032,.063,.032,.095,-76,1,,0,0,,0,1,hillca01
175,Mul Holland,26,STL,8,5,4,1,1,0,0,0,1,0,0,1,0,.250,.400,.250,.650,63,1,,0,0,,0,/1,hollamu01
176,Jim Holloway,20,PHI,3,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,386,1,,0,0,,0,/1,holloji01
177,Trader Horne#,31,CHC,11,6,5,1,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,99,2,,0,1,,0,1,hornetr01
178,Carl Hubbell,26,NYG,39,102,93,6,12,1,0,0,10,0,0,2,14,.129,.147,.140,.287,-28,13,,0,7,,0,1,hubbeca01
179,Mel Ingram,24,PIT,3,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/H,ingrame01
180,Si Johnson,22,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,johnssi01
