Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
252,Leroy Matlock*,22,SLS,NNL,21,39,34,8,9,4,0,1,5,2,,2,,.265,.306,.471,.776,99,16,,0,3,,,1/37,matlole01
253,Earl McNeely,31,SLB,AL,69,255,230,27,56,8,1,1,18,2,1,7,13,.243,.272,.300,.572,45,69,,2,15,,0,97/H8,mcneeea01
254,Bob Meusel,32,NYY,AL,100,414,391,46,102,15,3,10,57,2,5,17,42,.261,.292,.391,.683,79,153,,0,5,,0,79/H,meusebo01
255,Eddie Miller?,28,TOT,MLB,38,142,126,17,32,2,4,0,13,2,,8,,.254,.299,.333,.632,58,42,,0,8,,,6/4135,milleed05
256,Jake Miller*,31,CLE,AL,29,82,75,6,15,1,0,0,3,2,0,0,10,.200,.200,.213,.413,5,16,,0,7,,0,1,milleja02
257,Heinie Mueller*,29,BSN,NL,46,109,93,10,19,2,1,0,11,2,1,12,12,.204,.302,.247,.549,41,23,,1,3,,0,H89/7,muellhe01
258,Millito Navarro,23,CSE,ANL,25,109,101,16,32,4,2,0,15,2,,4,,.317,.343,.396,.739,80,40,,0,4,,,4/9,navarmi01
259,Lefty O'Doul*,32,PHI,NL,154,732,638,152,254,35,6,32,122,2,6,76,19,.398,.465,.622,1.087,161,397,,4,13,,1,*79,o'doule01
260,Grady Orange?,29,DS,NNL,52,206,185,37,53,7,3,6,24,2,,8,,.286,.316,.454,.770,98,84,,0,13,,,4/65,oranggr01
261,Pid Purdy*,25,CIN,NL,82,208,181,22,49,7,5,1,16,2,3,19,8,.271,.350,.381,.731,85,69,,3,5,,1,H7/98,purdypi01
262,Ed Rile*,29,TOT,NNL,71,308,261,53,75,13,3,9,47,2,,37,,.287,.380,.464,.844,119,121,,2,8,,,*3/41,rileed01
263,Nat Rogers*,35,MRS,NNL,53,207,185,27,52,6,1,2,35,2,,17,,.281,.345,.357,.702,83,66,,1,4,,,79,rogerna01
264,John Henry Russell,31,SLS,NNL,84,308,289,46,81,7,2,1,43,2,,16,,.280,.318,.329,.647,69,95,,0,3,,,*4/6,russejo03
265,Merv Shea,28,DET,AL,50,182,162,23,47,6,0,3,24,2,1,19,18,.290,.365,.383,.747,93,62,,0,1,,0,2/H,sheame01
