Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
346,Harry Salmon*,34,BBB,NNL,47,105,101,13,19,1,1,0,7,1,,2,,.188,.204,.218,.422,10,22,,0,2,,,1/987,salmoha01
347,Wally Schang#,39,SLB,AL,94,334,249,43,59,10,5,5,36,1,4,74,22,.237,.424,.378,.802,105,94,,7,4,,8,2H,schanwa01
348,Carey Selph,27,STL,NL,25,59,51,8,12,1,1,0,7,1,2,6,4,.235,.316,.294,.610,50,15,,0,2,,0,4H,selphca01
349,Wally Shaner,29,CIN,NL,13,32,28,5,9,0,0,1,4,1,1,4,5,.321,.406,.429,.835,112,12,,0,0,,0,/3H7,shanewa01
350,Bob Smith,34,BSN,NL,39,104,99,12,17,4,2,1,8,1,0,2,8,.172,.188,.283,.471,17,28,,0,3,,0,1/6,smithbo02
351,Al Spohrer,26,BSN,NL,114,382,342,42,93,21,8,2,48,1,1,26,35,.272,.327,.398,.725,82,136,,2,12,,3,*2H,spohral01
352,Jake Stephens,29,TOT,ANL,15,57,51,6,10,0,0,0,2,1,,3,,.196,.241,.196,.437,7,10,,0,3,,,6,stephja02
353,John Stone*,23,DET,AL,51,163,150,23,39,11,2,2,15,1,1,11,13,.260,.311,.400,.711,82,60,,0,2,,0,7H/89,stonejo01
354,Homer Summa*,30,PHA,AL,37,88,81,12,22,4,0,0,10,1,1,2,1,.272,.298,.321,.619,57,26,,1,4,,0,9H/7,summaho01
355,Jackie Tavener*,31,CLE,AL,92,292,250,25,53,9,4,2,27,1,4,26,28,.212,.289,.304,.593,51,76,,1,15,,0,6/H,tavenja01
356,Ben Taylor*,40,AC,ANL,39,132,115,12,31,6,0,4,17,1,,14,,.270,.354,.426,.780,89,49,,1,2,,,3,taylobe99
357,Bill Walker,25,NYG,NL,29,70,61,4,7,0,0,1,4,1,0,2,21,.115,.143,.164,.307,-24,10,,0,7,,0,1,walkebi01
358,Hoss Walker,24,AC,ANL,53,187,157,33,39,4,4,2,23,1,,20,,.248,.333,.363,.696,70,57,,0,10,,,65,walkeho01
359,Sam Warmack?,30,HIL,ANL,35,156,134,30,44,9,4,1,18,1,,15,,.328,.396,.478,.874,112,64,,0,7,,,7/8549,warmasa01
360,Ken Williams*,39,BOS,AL,74,161,139,21,48,14,2,3,21,1,5,15,7,.345,.409,.540,.949,145,75,,0,7,,1,H87/39,willike01
361,Poindexter Williams,31,BBB,NNL,64,244,216,29,61,9,2,6,45,1,,22,,.282,.349,.426,.775,101,92,,0,6,,,*2/9,willipo02
362,Yats Wuestling,25,DET,AL,54,167,150,13,30,4,1,0,16,1,3,9,24,.200,.250,.240,.490,27,36,,1,7,,0,6/H45,wuestya01
363,Laymon Yokely,23,BBS,ANL,30,87,78,5,15,1,0,1,7,1,,2,,.192,.213,.244,.456,11,19,,0,7,,,1,yokella01
364,Thomas Albright,19,AC,ANL,11,19,17,0,1,0,0,0,0,0,,1,,.059,.111,.059,.170,-58,1,,0,1,,,1,albrith01
365,Pete Alexander,42,STL,NL,22,48,41,2,2,0,0,0,2,0,1,3,5,.049,.133,.049,.182,-53,2,,1,3,,0,1,alexape01
366,Nick Altrock#,52,WSH,AL,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,414,1,,0,0,,0,/H9,altroni01
367,Tom Angley*,24,CHC,NL,5,21,16,1,4,1,0,0,6,0,0,2,2,.250,.333,.313,.646,61,5,,0,3,,0,/2H,angleto01
368,Casper Asbjornson,20,BOS,AL,17,30,29,1,3,0,0,0,0,0,0,1,6,.103,.133,.103,.237,-37,3,,0,0,,0,2/H,asbjoca01
369,Ken Ash,27,CIN,NL,30,21,21,1,3,1,0,0,1,0,0,0,4,.143,.143,.190,.333,-16,4,,0,0,,0,1/7H,ashke01
370,Jimmy Austin#,49,SLB,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/5,austiji01
371,Martin Autry,26,CHW,AL,43,100,96,7,20,6,0,1,12,0,0,1,8,.208,.224,.302,.527,35,29,,1,2,,1,2H,autrych02
372,Win Ballou,31,BRO,NL,25,16,16,1,1,0,0,0,0,0,0,0,7,.063,.063,.063,.125,-69,1,,0,0,,0,1,ballowi01
373,Frank Barnes*,29,DET,AL,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,barnefr01
374,Bill Bayne*,30,BOS,AL,27,27,25,2,8,1,1,0,1,0,0,1,3,.320,.346,.440,.786,103,11,,0,1,,0,1,baynebi01
375,Walter Beall,29,WSH,AL,3,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,,0,0,,0,/1,beallwa01
376,Cliff Bell,32,MRS,NNL,22,57,52,1,5,0,0,0,0,0,,2,,.096,.130,.096,.226,-40,5,,0,3,,,1/8,bellcl01
377,Herman Bell,31,STL,NL,7,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,/1,bellhi01
378,William Bell,31,KCM,NNL,26,76,67,10,20,3,0,0,11,0,,7,,.299,.365,.343,.708,86,23,,0,2,,,1,bellwi01
379,Ray Benge,27,PHI,NL,43,78,74,8,15,0,0,0,4,0,0,1,9,.203,.213,.203,.416,1,15,,0,3,,0,1/H,bengera01
380,Benny Bengough,30,NYY,AL,23,62,62,5,12,2,1,0,7,0,0,0,2,.194,.194,.258,.452,18,16,,0,0,,0,2,bengobe01
381,Larry Benton,31,NYG,NL,41,88,86,2,9,1,0,1,8,0,1,1,15,.105,.115,.151,.266,-35,13,,0,1,,0,1/H,bentola01
382,Josh Billings,21,DET,AL,8,7,6,0,0,0,0,0,0,0,0,1,1,.000,.143,.000,.143,-60,0,,0,0,,0,/1,billijo02
383,Lena Blackburne,42,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,blackle01
384,George Blaeholder,25,SLB,AL,42,83,74,6,9,1,0,1,6,0,0,6,14,.122,.188,.176,.363,-7,13,,0,2,,0,1,blaehge01
385,Sheriff Blake#,29,CHC,NL,38,90,81,11,14,2,0,0,4,0,0,4,10,.173,.212,.198,.409,2,16,,0,5,,0,1/H,blakesh01
386,Ted Blankenship,28,CHW,AL,8,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,30,1,,0,0,,0,/1,blankte01
387,Clarence Blethen*,35,BRO,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,blethcl01
388,Alonzo Boone,21,MRS,NNL,7,13,12,1,3,2,0,0,2,0,,1,,.250,.308,.417,.724,87,5,,0,0,,,/1,booneal01
389,Harley Boss*,20,WSH,AL,28,68,66,9,18,2,1,0,6,0,0,2,6,.273,.294,.333,.627,60,22,,0,0,,0,3H,bossha01
390,Herb Bradley,26,BOS,AL,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,bradlhe01
391,Joe Bradshaw,31,BRO,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,bradsjo01
392,Erv Brame*,27,PIT,NL,59,120,116,9,36,8,1,4,25,0,0,2,7,.310,.322,.500,.822,98,58,,0,2,,0,1H,brameer01
393,Ed Brandt*,24,BSN,NL,29,71,64,7,15,4,0,0,5,0,0,4,6,.234,.279,.297,.576,46,19,,0,3,,0,1/H,branded01
394,Otis Brannan*,30,SLB,AL,23,58,51,4,15,1,0,1,8,0,0,4,4,.294,.345,.373,.718,83,19,,0,3,,0,4/H,brannot01
395,Garland Braxton#,29,WSH,AL,37,66,54,5,8,4,0,0,4,0,0,6,13,.148,.246,.222,.468,21,12,,1,5,,0,1,braxtga01
396,Bill Breckinridge,21,PHA,AL,3,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/1,breckbi01
397,Otto Briggs*,38,TOT,ANL,4,14,11,3,4,0,0,0,0,0,,2,,.364,.462,.364,.825,103,4,,0,1,,,/9,briggot01
398,George Britt,33,TOT,ANL,32,74,69,4,16,0,0,0,5,0,,2,,.232,.254,.232,.485,19,16,,0,3,,,1/25396,brittge01
399,Broadnax?,--,MRS,NNL,8,11,11,1,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/17,broad02
400,Ameal Brooks*,22,CAG,NNL,2,3,3,1,2,1,0,0,0,0,,0,,.667,.667,1.000,1.667,328,3,,0,0,,,/2,brookam01
401,Brown?,--,HIL,ANL,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,,0,0,,,/1,brown08
402,Clint Brown*,25,CLE,AL,3,7,7,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,browncl01
403,Scrappy Brown?,29,AC,ANL,1,5,4,1,1,0,0,0,1,0,,0,,.250,.250,.250,.500,22,1,,0,1,,,/6,brownsc02
404,Bobby Burke*,22,WSH,AL,37,51,43,2,6,1,0,0,4,0,0,1,10,.140,.159,.163,.322,-17,7,,0,7,,0,1,burkebo01
405,Johnny Burnett*,24,CLE,AL,19,35,33,2,5,1,0,0,2,0,0,1,2,.152,.200,.182,.382,-2,6,,1,0,,0,6/4H,burnejo01
406,Johnny Butler,36,STL,NL,17,59,55,5,9,1,1,0,5,0,0,4,5,.164,.220,.218,.439,8,12,,0,0,,0,/56,butlejo02
407,Jerry Byrne,22,CHW,AL,3,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,byrneje01
408,Joe Cade?,29,AC,ANL,14,22,18,2,4,1,0,0,3,0,,2,,.222,.300,.278,.578,42,5,,0,2,,,1/9,cadejo01
409,Archie Campbell,25,WSH,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,campbar01
410,Bullet Campbell?,33,NLG,ANL,1,1,1,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/1,campbbu01
411,Richard Cannon?,19,SLS,NNL,8,9,8,1,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,1,,,/1,cannori01
412,Ben Cantwell,27,BSN,NL,27,57,50,5,9,3,0,0,5,0,0,4,5,.180,.241,.240,.481,22,12,,0,3,,0,1,cantwbe01
413,Max Carey#,39,BRO,NL,19,27,23,2,7,0,0,0,1,0,0,3,2,.304,.407,.304,.712,81,7,,1,0,,0,H/89,careyma01
414,Hal Carlson,37,CHC,NL,31,44,39,4,9,2,0,0,8,0,0,2,7,.231,.268,.282,.550,37,11,,0,3,,0,1,carlsha01
415,Ed Carroll,21,BOS,AL,24,20,16,2,1,0,0,0,2,0,0,0,3,.063,.063,.063,.125,-67,1,,0,3,,0,1/H,carroed01
416,Ownie Carroll,26,DET,AL,37,81,74,9,17,2,2,0,11,0,0,4,4,.230,.278,.311,.589,51,23,,1,2,,0,1/H,carroow01
417,Cliff Carter?,30,HIL,ANL,7,15,11,1,3,0,0,0,0,0,,3,,.273,.429,.273,.701,74,3,,0,1,,,/1,cartecl01
418,Luis Castro?,24,CSE,ANL,5,6,4,2,0,0,0,0,0,0,,2,,.000,.333,.000,.333,-13,0,,0,0,,,/2,castrlu02
419,Leon Chagnon,26,PIT,NL,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,chagnle01
420,Porter Charleston?,25,HIL,ANL,21,56,52,2,7,1,1,0,1,0,,1,,.135,.151,.192,.343,-17,10,,0,3,,,1,charlpo01
421,Son Childs,--,MRS,NNL,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,,0,0,,,,childso01
422,Joe Cicero,18,BOS,AL,10,32,32,6,10,2,2,0,4,0,0,0,2,.313,.313,.500,.813,108,16,,0,0,,0,/8H7,cicerjo01
423,Watson Clark*,27,BRO,NL,42,106,97,10,16,0,0,0,4,0,1,5,14,.165,.206,.165,.371,-6,16,,0,4,,0,1/H,clarkwa02
424,Bill Clarkson,30,BSN,NL,2,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,154,1,,0,0,,0,/1,clarkbi02
425,Herb Cobb,24,SLB,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,cobbhe01
426,Dick Coffman,22,SLB,AL,27,8,7,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,1,coffmdi01
427,Gilbert Coleman,--,AC,ANL,3,9,9,0,1,0,0,0,0,0,,0,,.111,.111,.111,.222,-46,1,,0,0,,,/95,colemgi01
428,Eddie Collins*,42,PHA,AL,9,9,7,0,0,0,0,0,0,0,0,2,0,.000,.222,.000,.222,-39,0,,0,0,,1,/H,collied01
429,Pat Collins,32,BSN,NL,7,11,5,1,0,0,0,0,2,0,0,3,1,.000,.375,.000,.375,4,0,,0,3,,0,/2H,collipa01
430,Phil Collins,27,PHI,NL,59,60,58,15,11,4,0,1,7,0,0,1,12,.190,.217,.310,.527,26,18,,1,0,,0,1H,colliph01
431,Rip Collins,33,SLB,AL,26,66,62,9,17,6,0,1,5,0,0,3,17,.274,.308,.419,.727,83,26,,0,1,,0,1,colliri01
432,Sarge Connally,30,CHW,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,1,connasa01
433,Ed Connolly,20,BOS,AL,5,8,8,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,/2,connoed01
434,Andy Cooper,32,KCM,NNL,21,51,40,3,11,0,2,1,5,0,,5,,.275,.356,.450,.806,109,18,,0,6,,,1,coopean99
435,Darltie Cooper,26,HIL,ANL,32,92,80,4,18,2,1,1,13,0,,6,,.225,.295,.313,.608,48,25,,2,4,,,1/95,coopeda02
436,Sam Cooper?,31,AC,ANL,9,23,20,2,5,1,0,0,4,0,,2,,.250,.318,.300,.618,51,6,,0,1,,,/1,coopesa01
437,Estel Crabtree*,25,CIN,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/H,crabtes01
438,William Craddock?,--,TOT,ANL,3,9,8,2,1,0,0,0,0,0,,1,,.125,.222,.125,.347,-13,1,,0,0,,,/9,craddwi01
439,Doc Cramer*,23,PHA,AL,2,6,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,/7H,cramedo01
440,Bill Cronin,26,BSN,NL,6,9,9,0,1,0,0,0,0,0,0,0,0,.111,.111,.111,.222,-44,1,,0,0,,0,/2H,cronibi01
441,Jim Cronin#,23,PHA,AL,25,63,56,7,13,2,1,0,4,0,0,5,7,.232,.295,.304,.599,52,17,,0,2,,0,4/65H,croniji01
442,General Crowder*,30,SLB,AL,40,99,96,6,18,4,0,0,5,0,0,2,11,.188,.204,.229,.433,10,22,,0,1,,0,1,crowdal01
443,Nick Cullop,28,BRO,NL,13,50,41,7,8,2,2,1,5,0,0,8,7,.195,.327,.415,.741,84,17,,0,1,,0,/8793H,culloni02
444,Jack Cummings,25,TOT,NL,6,9,9,0,2,0,0,0,1,0,0,0,2,.222,.222,.222,.444,12,2,,0,0,,0,/2H,cummija01
445,Bruce Cunningham,23,BSN,NL,19,33,27,3,4,0,0,0,2,0,0,4,7,.148,.258,.148,.406,6,4,,0,2,,0,1/7H,cunnibr01
446,Mike Cvengros*,28,CHC,NL,33,17,15,5,6,1,0,0,1,0,0,2,1,.400,.471,.467,.937,133,7,,0,0,,0,1/H,cvengmi01
447,Sam Dailey*,25,PHI,NL,20,17,17,0,1,0,0,0,1,0,0,0,4,.059,.059,.059,.118,-71,1,,0,0,,0,1,dailesa01
448,Davidson?,--,AC,ANL,1,1,1,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,,david03
449,Roosevelt Davis,24,TOT,NNL,35,52,48,3,10,2,0,0,0,0,,3,,.208,.255,.250,.505,32,12,,0,1,,,1,davisro04
450,Joe Dawson,32,PIT,NL,4,3,2,1,1,0,0,0,0,0,0,1,0,.500,.667,.500,1.167,191,1,,0,0,,0,/1,dawsojo01
451,Connie Day,31,AC,ANL,53,207,184,22,38,7,3,1,20,0,,16,,.207,.274,.293,.567,38,54,,1,6,,,*4,dayco01
452,Bobby Dean?,--,HG,ANL,1,2,2,0,2,0,0,0,1,0,,0,,1.000,1.000,1.000,2.000,388,2,,0,0,,,/4,deanbo01
453,Nelson Dean?,30,MRS,NNL,14,36,35,2,3,0,0,0,1,0,,0,,.086,.086,.086,.171,-55,3,,0,1,,,1/9,deanne01
454,Art Delaney,32,BSN,NL,20,26,21,4,3,0,0,1,2,0,0,3,3,.143,.250,.286,.536,35,6,,0,2,,0,1,delanar01
455,Eddie Delker,23,STL,NL,22,47,40,5,6,0,1,0,3,0,0,2,12,.150,.227,.200,.427,6,8,,2,3,,0,/64H5,delkeed01
456,Fred Dewitt?,28,MRS,NNL,1,1,1,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/3,dewitfr01
457,Heliodoro Díaz,24,CSW,NNL,17,53,45,5,16,4,0,1,5,0,,5,,.356,.420,.511,.931,141,23,,0,3,,,1,diazhe01
458,Leo Dixon,34,CIN,NL,14,35,30,0,5,2,0,0,2,0,0,3,7,.167,.242,.233,.476,21,7,,0,1,,0,2,dixonle01
459,Bill Doak,38,STL,NL,3,4,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,-10,0,,0,1,,0,/1,doakbi01
460,Ray Dobens*,22,BOS,AL,11,9,8,0,3,0,0,0,1,0,0,0,0,.375,.375,.375,.750,96,3,,0,1,,0,1,dobenra01
461,Len Dondero,25,SLB,AL,19,36,31,2,6,0,0,1,8,0,0,0,4,.194,.194,.290,.484,21,9,,0,4,,0,5/H4,dondele01
462,Bunny Downs,35,HIL,ANL,2,6,6,0,1,0,0,0,0,0,,0,,.167,.167,.167,.333,-19,1,,0,0,,,/4,downsbu01
463,Clise Dudley*,25,BRO,NL,36,59,51,4,5,0,0,2,3,0,1,4,21,.098,.179,.216,.394,-2,11,,1,3,,0,1/H,dudlecl01
464,Dan Dugan*,22,CHW,AL,19,21,20,1,3,1,0,0,3,0,0,0,7,.150,.150,.200,.350,-10,4,,0,1,,0,1,duganda01
465,Joe Dugan,32,BSN,NL,60,139,125,14,38,10,0,0,15,0,0,8,8,.304,.346,.384,.730,84,48,,0,6,,1,H5/647,duganjo01
466,Bill Dunlap,20,BSN,NL,10,33,29,6,12,0,1,1,4,0,0,4,4,.414,.485,.586,1.071,170,17,,0,0,,0,/7H9,dunlabi01
467,Ed Durham*,21,BOS,AL,14,5,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-44,0,,0,0,,0,1,durhaed01
468,A.J. Dykes?,--,BBB,NNL,1,2,2,1,1,0,0,0,0,0,,0,,.500,.500,.500,1.000,162,1,,0,0,,,/4,dykesaj01
469,George Earnshaw,29,PHA,AL,44,100,87,6,15,2,0,1,10,0,0,2,21,.172,.200,.230,.430,9,20,,1,10,,0,1,earnsge01
470,Jesse Edwards?,--,DS,NNL,2,1,1,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/1,edwarje02
471,Howard Ehmke,35,PHA,AL,11,19,19,0,2,1,0,0,0,0,0,0,2,.105,.105,.158,.263,-34,3,,0,0,,0,1,ehmkeho01
472,Rube Ehrhardt,34,CIN,NL,24,11,11,1,2,0,0,0,0,0,0,0,5,.182,.182,.182,.364,-8,2,,0,0,,0,1,ehrharu01
473,Hal Elliott,30,PHI,NL,40,34,30,4,5,0,0,0,0,0,0,4,15,.167,.265,.167,.431,7,5,,0,0,,0,1,ellioha01
474,Jumbo Elliott,28,BRO,NL,6,5,4,0,1,0,0,0,0,0,0,1,2,.250,.400,.250,.650,66,1,,0,0,,0,/1,ellioju01
475,Ralph Erickson*,27,PIT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,erickra01
476,Oscar Estrada*,27,SLB,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,estraos01
477,Jimmy Everett,20,NLG,ANL,9,20,18,5,4,0,0,0,3,0,,2,,.222,.300,.222,.522,29,4,,0,0,,,/1,evereji01
478,Johnny Evers*,47,BSN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/4,eversjo01
479,Red Faber#,40,CHW,AL,31,90,78,8,10,2,0,1,5,0,0,8,24,.128,.209,.192,.402,5,15,,0,4,,0,1,faberre01
480,Isidro Fabré,34,CSE,ANL,40,126,105,16,25,7,1,1,15,0,,10,,.238,.316,.352,.669,63,37,,2,9,,,18/793,fabreis01
481,Luther Farrell*,32,AC,ANL,8,31,21,5,6,2,0,0,4,0,,7,,.286,.464,.381,.845,108,8,,0,3,,,/91,farrelu02
482,Alex Ferguson,32,TOT,NL,8,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,-2,1,,0,0,,0,/1,fergual01
483,José María Fernández,33,CSE,ANL,53,195,176,20,47,6,0,0,17,0,,12,,.267,.317,.301,.619,51,53,,1,6,,,*2/3,fernajo05
484,George Fiall?,29,BBB,NNL,11,39,34,5,7,0,0,0,0,0,,5,,.206,.308,.206,.514,36,7,,0,0,,,6/9,fiallge01
485,Freddie Fitzsimmons,27,NYG,NL,37,86,82,5,15,4,0,0,9,0,0,1,11,.183,.193,.232,.424,5,19,,0,2,,0,1,fitzsfr01
486,Willis Flournoy*,33,BBS,ANL,24,60,50,9,12,4,0,0,5,0,,6,,.240,.321,.320,.641,57,16,,0,4,,,1/9,flourwi01
487,Jake Foote?,--,DS,NNL,1,3,2,0,0,0,0,0,0,0,,1,,.000,.333,.000,.333,-6,0,,0,0,,,/2,footeja01
488,Bill Force,33,BBS,ANL,7,11,11,0,3,0,0,0,0,0,,0,,.273,.273,.273,.545,33,3,,0,0,,,/19,forcebi01
489,Fred Frankhouse,25,STL,NL,34,55,52,7,15,3,0,1,8,0,0,1,6,.288,.302,.404,.706,71,21,,0,2,,0,1/H,frankfr02
490,Walt French*,29,PHA,AL,45,51,45,7,12,1,0,1,9,0,0,2,3,.267,.298,.356,.653,65,16,,0,2,,0,H/798,frencwa01
491,Benny Frey,23,CIN,NL,3,9,8,3,3,1,0,0,0,0,0,0,1,.375,.375,.500,.875,119,4,,0,1,,0,/1,freybe01
492,Liz Funk*,24,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/H,funkli01
493,Fred Fussell*,33,PIT,NL,21,16,16,4,4,1,0,2,3,0,0,0,1,.250,.250,.688,.938,120,11,,0,0,,0,1,fussefr01
494,Cándido Gálvez?,28,CSW,NNL,14,29,25,2,5,2,1,0,3,0,,4,,.200,.310,.360,.670,74,9,,0,0,,,1,galveca01
495,Márgaro Gámiz?,24,TOT,ANL,19,49,44,4,11,1,0,0,5,0,,3,,.250,.313,.273,.585,44,12,,1,1,,,2,gamizma01
496,Ping Gardner?,30,AC,ANL,12,26,23,4,6,0,0,0,1,0,,1,,.261,.292,.261,.553,35,6,,0,2,,,1,gardnpi01
497,Milt Gaston,33,BOS,AL,39,89,78,3,15,3,0,1,5,0,0,6,19,.192,.259,.269,.528,38,21,,1,4,,0,1,gastomi01
498,Herbert Gay?,20,CAG,NNL,10,12,10,0,0,0,0,0,0,0,,1,,.000,.091,.000,.091,-74,0,,0,1,,,/1,gayhe01
499,Willie Gay?,20,CAG,NNL,1,4,4,0,1,0,0,0,0,0,,0,,.250,.250,.250,.500,31,1,,0,0,,,/9,gaywi01
500,Rich Gee?,34,NLG,ANL,1,3,3,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/2,geeri01
501,Patsy Gharrity,37,WSH,AL,3,3,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,-7,0,,0,0,,0,/H,gharrpa01
502,Grant Gillis,28,BOS,AL,28,83,73,5,18,4,0,0,11,0,1,6,8,.247,.304,.301,.605,58,22,,0,4,,0,4/H,gilligr01
503,Willie Gisentaner*,29,CSE,ANL,14,27,27,3,9,0,0,0,2,0,,0,,.333,.333,.333,.667,63,9,,0,0,,,1,gisenwi01
504,Carl Glass*,31,MRS,NNL,38,102,91,10,24,2,1,0,11,0,,5,,.264,.302,.308,.610,59,28,,0,6,,,1/748,glassca01
505,Hal Goldsmith,30,STL,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/1,goldsha01
506,Sijo Gómez?,29,CSE,ANL,12,27,23,3,4,0,0,0,1,0,,3,,.174,.269,.174,.443,10,4,,0,1,,,1,gomezsi01
507,Charlie Gooch,27,WSH,AL,39,64,57,6,16,2,1,0,5,0,1,7,8,.281,.359,.351,.710,83,20,,0,0,,0,H/356,goochch01
508,Hank Gowdy,39,BSN,NL,10,16,16,1,7,0,0,0,3,0,0,0,2,.438,.438,.438,.875,122,7,,0,0,,0,/2H,gowdyha01
509,Al Grabowski*,27,STL,NL,6,18,16,3,4,2,1,0,1,0,0,1,0,.250,.294,.500,.794,91,8,,0,1,,0,/1,graboal01
510,Earl Grace*,22,CHC,NL,27,94,80,7,20,1,0,2,17,0,0,9,7,.250,.333,.338,.671,67,27,,1,4,,1,2,graceea01
511,Kyle Graham,29,DET,AL,13,19,19,1,2,0,0,1,1,0,0,0,6,.105,.105,.263,.368,-8,5,,0,0,,0,1,grahask01
512,Hank Grampp,25,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,grampha01
513,George Grant,26,CLE,AL,12,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,1,grantge02
514,Sam Gray,31,SLB,AL,43,118,103,8,19,4,1,0,13,0,0,6,18,.184,.229,.243,.472,20,25,,0,9,,0,1,graysa01
515,June Greene*,30,PHI,NL,21,21,19,1,4,1,0,0,0,0,0,2,4,.211,.286,.263,.549,34,5,,0,0,,0,H/1,greenju01
516,Kent Greenfield,26,TOT,NL,13,6,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,1/H,greenke01
517,Burleigh Grimes,35,PIT,NL,33,97,91,11,26,3,3,0,12,0,1,4,10,.286,.316,.385,.700,71,35,,0,2,,0,1,grimebu01
518,Lefty Grove*,29,PHA,AL,42,116,102,13,22,3,0,1,15,0,0,6,33,.216,.259,.275,.534,35,28,,0,8,,0,1,grovele01
519,Marv Gudat*,25,CIN,NL,9,10,10,0,2,0,0,0,0,0,0,0,0,.200,.200,.200,.400,2,2,,0,0,,0,/1H,gudatma01
520,Earl Gurley*,30,BBB,NNL,8,33,31,2,7,1,2,0,5,0,,2,,.226,.273,.387,.660,70,12,,0,0,,,/897,gurleea01
521,Mule Haas*,25,PHA,AL,139,656,578,115,181,41,9,16,82,0,4,34,38,.313,.356,.498,.854,114,288,,4,40,,0,*8/7,haasmu01
522,Bump Hadley,24,WSH,AL,37,74,62,6,6,0,0,0,2,0,0,7,15,.097,.188,.097,.285,-25,6,,0,4,,0,1,hadlebu01
523,Hal Haid,31,STL,NL,38,56,49,4,4,1,0,0,3,0,0,3,15,.082,.151,.102,.253,-37,5,,1,3,,0,1,haidha01
524,Perry Hall,31,AC,ANL,1,3,3,0,2,0,0,0,1,0,,0,,.667,.667,.667,1.333,226,2,,0,0,,,/5,hallpe01
