Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
93,Fred Dewitt?,28,MRS,1,1,1,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/3,dewitfr01
94,Heliodoro Díaz,24,CSW,17,53,45,5,16,4,0,1,5,0,,5,,.356,.420,.511,.931,141,23,,0,3,,,1,diazhe01
95,A.J. Dykes?,--,BBB,1,2,2,1,1,0,0,0,0,0,,0,,.500,.500,.500,1.000,162,1,,0,0,,,/4,dykesaj01
96,Jesse Edwards?,--,DS,2,1,1,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/1,edwarje02
97,George Fiall?,29,BBB,11,39,34,5,7,0,0,0,0,0,,5,,.206,.308,.206,.514,36,7,,0,0,,,6/9,fiallge01
98,Jake Foote?,--,DS,1,3,2,0,0,0,0,0,0,0,,1,,.000,.333,.000,.333,-6,0,,0,0,,,/2,footeja01
99,Cándido Gálvez?,28,CSW,14,29,25,2,5,2,1,0,3,0,,4,,.200,.310,.360,.670,74,9,,0,0,,,1,galveca01
100,Herbert Gay?,20,CAG,10,12,10,0,0,0,0,0,0,0,,1,,.000,.091,.000,.091,-74,0,,0,1,,,/1,gayhe01
101,Willie Gay?,20,CAG,1,4,4,0,1,0,0,0,0,0,,0,,.250,.250,.250,.500,31,1,,0,0,,,/9,gaywi01
102,Carl Glass*,31,MRS,38,102,91,10,24,2,1,0,11,0,,5,,.264,.302,.308,.610,59,28,,0,6,,,1/748,glassca01
103,Earl Gurley*,30,BBB,8,33,31,2,7,1,2,0,5,0,,2,,.226,.273,.387,.660,70,12,,0,0,,,/897,gurleea01
104,Eppie Hamilton,29,BBB,18,53,52,8,16,1,1,2,13,0,,1,,.308,.321,.481,.802,106,25,,0,0,,,2/7,hamilep01
105,Walter Harper?,--,CAG,1,1,1,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,,harpewa01
106,Bill Harris?,--,SLS,1,2,1,1,0,0,0,0,0,0,,1,,.000,.500,.000,.500,42,0,,0,0,,,/2,harribi05
107,Henry Harris?,28,MRS,21,74,59,5,9,2,0,0,3,0,,10,,.153,.275,.186,.462,23,11,,0,5,,,6/4,harrihe02
108,Logan Hensley,29,SLS,28,69,65,7,13,1,1,3,10,0,,2,,.200,.224,.385,.608,56,25,,0,2,,,1,hensllo01
109,Ramón Hernández?,22,CSW,34,128,111,14,29,3,1,5,16,0,,14,,.261,.349,.441,.791,105,49,,1,2,,,5/2,hernara03
110,John Hines,28,CAG,4,12,11,0,1,1,0,0,1,0,,1,,.091,.167,.182,.348,-9,2,,0,0,,,/2,hinesjo01
111,Barney Jenkins?,--,DS,1,4,4,0,1,0,0,0,1,0,,0,,.250,.250,.250,.500,31,1,,0,0,,,/2,jenkiba01
112,Johnson?,--,BBB,5,12,12,0,2,0,1,0,4,0,,0,,.167,.167,.333,.500,27,4,,0,0,,,/25,johns12
113,Harry Kenyon,35,MRS,9,22,21,3,4,0,0,1,3,0,,1,,.190,.227,.333,.561,44,7,,0,0,,,/1937,kenyoha01
114,Alto Lane?,21,MRS,3,7,7,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/1,laneal01
115,Hubert Lockhart?,30,CAG,2,5,4,1,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,1,,,/1,lockhhu01
116,Ventura López?,20,CSW,10,20,20,2,5,0,0,0,1,0,,0,,.250,.250,.250,.500,31,5,,0,0,,,1,lopezve01
117,Jesús Lorenzo?,23,CSW,18,50,44,11,13,1,0,0,3,0,,4,,.295,.354,.318,.672,77,14,,0,2,,,1/795,lorenje01
118,Marshall?,--,BBB,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,,0,0,,,/2,marsh03
119,Jack Marshall,34,CAG,14,36,31,3,6,0,0,0,3,0,,0,,.194,.194,.194,.387,1,6,,0,5,,,1/3,marshja02
120,Elliott Mayweather?,--,MRS,1,2,2,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/1,mayweel01
121,Luther McDonald?,23,SLS,13,17,14,4,5,1,0,0,2,0,,2,,.357,.438,.429,.866,127,6,,0,1,,,1,mcdonlu01
122,Webster McDonald*,29,CAG,5,18,17,2,3,1,0,0,0,0,,0,,.176,.176,.235,.412,6,4,,0,1,,,/1,mcdonwe01
123,George Mitchell,29,DS,25,50,47,7,11,0,1,1,4,0,,1,,.234,.250,.340,.590,52,16,,0,2,,,1/3,mitchge01
124,Guillermo Molina?,20,CSW,6,6,4,0,1,0,0,0,0,0,,0,,.250,.250,.250,.500,31,1,,0,2,,,/1,molingu02
125,John Moore?,--,BBB,3,8,7,1,1,0,0,0,0,0,,1,,.143,.250,.143,.393,5,1,,0,0,,,/6,moorejo03
126,Yellow Horse Morris,27,CAG,19,46,35,2,8,1,0,0,4,0,,4,,.229,.325,.257,.582,54,9,,1,6,,,1,morriye01
127,Arthur Nance,--,CAG,3,8,8,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/64,nancear01
128,George Nash?,22,MRS,2,2,1,0,0,0,0,0,0,0,,1,,.000,.500,.000,.500,42,0,,0,0,,,/1,nashge01
