"","Player","doubles","triples","home_runs","singles"
"Max","Max",0.25,0.25,0.25,0.25
"Min","Min",0,0,0,0
"Average","Average",0.0320843237164424,0.0111126436098249,0.00794404496956609,0.176840443059556
"1","Josh Gibson",0.0537634408602151,0.0230983671843887,0.0657108721624851,0.178414974113899
"2","Jackie Robinson",0.0948905109489051,0.0072992700729927,0.0291970802919708,0.197080291970803
"3","Charlie Smith",0.0706371191135734,0.0138504155124654,0.0443213296398892,0.214681440443213
"4","Ed Steele",0.0452586206896552,0.0301724137931034,0.0172413793103448,0.204741379310345
"5","Willard Brown",0.0724381625441696,0.0259128386336867,0.0306242638398115,0.201413427561837
"6","Oscar Charleston",0.0610802624936901,0.0201918223119637,0.0368500757193337,0.189298334174659
"7","Buck Leonard",0.0539906103286385,0.0183881064162754,0.0371674491392801,0.17527386541471
"8","Larry Doby",0.0533980582524272,0.0323624595469256,0.0323624595469256,0.176375404530744
"9","Turkey Stearnes",0.0531344674900956,0.0261011419249592,0.0433465392682358,0.184805406665113
"10","Mule Suttles",0.0586462044395725,0.0197314332693889,0.0490545354891751,0.17100575500137
"11","Marvin Williams",0.0635838150289017,0.0260115606936416,0.023121387283237,0.236994219653179
"12","Heavy Johnson",0.0595658758202928,0.0252397778899546,0.0287733467945482,0.213023725391217
"13","Ted Strong",0.0458248472505092,0.0122199592668024,0.0254582484725051,0.193482688391039
"14","Oscar Owens",0.0758293838862559,0.004739336492891,0.023696682464455,0.246445497630332
"15","Buzz Clarkson",0.0581867388362652,0.0121786197564276,0.0365358592692828,0.16914749661705
"16","John Beckwith",0.0681145113524186,0.0153010858835143,0.0375123395853899,0.192991115498519
"17","Pedro Díaz",0.0653266331658292,0.0351758793969849,0.0251256281407035,0.14572864321608
"18","Artie Wilson",0.0418326693227092,0.0239043824701195,0,0.262948207171315
"19","Monte Irvin",0.0477031802120141,0.0106007067137809,0.0335689045936396,0.203180212014134
"20","George Crowe",0.0357142857142857,0.0357142857142857,0.0297619047619048,0.19047619047619
"21","Cristóbal Torriente",0.0528900642236494,0.0200226671703816,0.0207782395164337,0.19304873441632
"22","Bonnie Serrell",0.0499075785582255,0.0277264325323475,0.0147874306839187,0.195933456561922
"23","Donald Reeves",0.0360655737704918,0.0262295081967213,0.0295081967213115,0.20327868852459
"24","Jud Wilson",0.0568053993250844,0.0140607424071991,0.0216535433070866,0.209223847019123
"25","Bill Pierce",0.0413223140495868,0.0330578512396694,0.0247933884297521,0.195592286501377
"26","Bullet Rogan",0.0446127946127946,0.0252525252525253,0.021043771043771,0.200757575757576
